feature_index,occurrence_count,occurrence_percentage,globally_interesting
868,470,94.0,False
56694,448,89.60000000000001,False
13469,438,87.6,False
60470,421,84.2,False
67792,361,72.2,False
26844,345,69.0,False
69252,343,68.60000000000001,False
23624,299,59.8,False
54500,293,58.599999999999994,False
46866,257,51.4,False
60592,253,50.6,False
71786,237,47.4,False
6109,234,46.800000000000004,False
10276,230,46.0,False
43830,219,43.8,False
35655,209,41.8,False
53124,203,40.6,False
13781,194,38.800000000000004,False
2947,192,38.4,False
68305,192,38.4,False
49621,177,35.4,False
41875,175,35.0,False
53328,167,33.4,False
2923,163,32.6,False
33444,162,32.4,False
29021,156,31.2,False
30822,146,29.2,False
30059,141,28.199999999999996,False
39033,140,28.000000000000004,False
67053,129,25.8,False
3446,127,25.4,False
71680,122,24.4,False
58844,116,23.200000000000003,False
6354,116,23.200000000000003,False
52852,116,23.200000000000003,False
13407,113,22.6,False
31153,111,22.2,False
38472,110,22.0,False
21913,104,20.8,False
23353,103,20.599999999999998,False
57319,102,20.4,False
40347,102,20.4,False
8768,102,20.4,False
17956,100,20.0,False
22642,98,19.6,False
16177,94,18.8,False
39416,90,18.0,False
2365,90,18.0,False
15476,88,17.599999999999998,False
42182,88,17.599999999999998,False
43813,88,17.599999999999998,False
39622,88,17.599999999999998,False
50189,87,17.4,False
12756,86,17.2,False
69922,86,17.2,False
22576,86,17.2,False
13929,84,16.8,False
40182,80,16.0,False
34906,79,15.8,False
8355,78,15.6,False
50286,77,15.4,False
34360,76,15.2,False
69168,76,15.2,False
36156,75,15.0,False
64507,75,15.0,False
32043,74,14.799999999999999,False
46648,73,14.6,False
42231,72,14.399999999999999,False
48133,71,14.2,False
11369,71,14.2,False
31782,71,14.2,False
15906,69,13.8,False
39770,69,13.8,False
19908,68,13.600000000000001,False
47118,66,13.200000000000001,False
52566,66,13.200000000000001,False
15786,66,13.200000000000001,False
52049,65,13.0,False
43095,65,13.0,False
29050,65,13.0,False
23241,64,12.8,False
39211,64,12.8,False
21167,64,12.8,False
31146,63,12.6,False
42953,63,12.6,False
66263,63,12.6,False
7457,63,12.6,False
58049,62,12.4,False
47501,62,12.4,False
62989,62,12.4,False
37469,62,12.4,False
58243,62,12.4,False
21841,61,12.2,False
65442,61,12.2,False
58507,61,12.2,False
72065,60,12.0,False
7349,60,12.0,False
4901,60,12.0,False
