feature_index,occurrence_count,occurrence_percentage,globally_interesting
868,468,93.60000000000001,False
56694,448,89.60000000000001,False
13469,438,87.6,False
60470,420,84.0,False
67792,361,72.2,False
69252,359,71.8,False
26844,346,69.19999999999999,False
23624,315,63.0,False
54500,295,59.0,False
60592,252,50.4,False
46866,252,50.4,False
10276,242,48.4,False
6109,227,45.4,False
71786,223,44.6,False
13781,212,42.4,False
35655,211,42.199999999999996,False
2947,200,40.0,False
68305,196,39.2,False
53124,175,35.0,False
41875,174,34.8,False
43830,170,34.0,False
2923,169,33.800000000000004,False
49621,169,33.800000000000004,False
33444,165,33.0,False
29021,159,31.8,False
53328,152,30.4,False
39033,148,29.599999999999998,False
30059,142,28.4,False
3446,137,27.400000000000002,False
13407,136,27.200000000000003,False
30822,132,26.400000000000002,False
58844,122,24.4,False
71680,120,24.0,False
67053,116,23.200000000000003,False
21913,114,22.8,False
23353,113,22.6,False
38472,112,22.400000000000002,False
31153,108,21.6,False
40347,107,21.4,False
8768,103,20.599999999999998,False
17956,101,20.200000000000003,False
57319,100,20.0,False
39622,99,19.8,False
6354,96,19.2,False
69922,94,18.8,False
22642,92,18.4,False
13929,92,18.4,False
42182,92,18.4,False
52852,91,18.2,False
12756,90,18.0,False
43813,89,17.8,False
22576,88,17.599999999999998,False
15476,88,17.599999999999998,False
2365,87,17.4,False
8355,87,17.4,False
50189,87,17.4,False
39416,86,17.2,False
34906,84,16.8,False
32043,79,15.8,False
16177,79,15.8,False
52566,78,15.6,False
50286,77,15.4,False
31782,77,15.4,False
34360,75,15.0,False
48133,75,15.0,False
42231,75,15.0,False
64507,75,15.0,False
40182,74,14.799999999999999,False
69168,74,14.799999999999999,False
19908,72,14.399999999999999,False
39770,72,14.399999999999999,False
43095,69,13.8,False
46648,69,13.8,False
52049,69,13.8,False
67902,68,13.600000000000001,False
23241,68,13.600000000000001,False
18852,67,13.4,False
65154,67,13.4,False
47118,66,13.200000000000001,False
36156,65,13.0,False
19748,65,13.0,False
11369,65,13.0,False
58049,64,12.8,False
62989,64,12.8,False
2430,64,12.8,False
62075,64,12.8,False
50220,64,12.8,False
47501,63,12.6,False
21841,63,12.6,False
66263,63,12.6,False
21167,63,12.6,False
39211,62,12.4,False
72065,62,12.4,False
58507,62,12.4,False
37469,62,12.4,False
42953,62,12.4,False
4901,61,12.2,False
40230,61,12.2,False
34852,60,12.0,False
42089,60,12.0,False
31146,60,12.0,False
17812,60,12.0,False
60506,60,12.0,False
32589,60,12.0,False
63213,60,12.0,False
65442,60,12.0,False
58243,60,12.0,False
15786,60,12.0,False
23927,59,11.799999999999999,False
36832,59,11.799999999999999,False
70813,59,11.799999999999999,False
17009,59,11.799999999999999,False
39773,59,11.799999999999999,False
69169,58,11.600000000000001,False
21575,58,11.600000000000001,False
41907,58,11.600000000000001,False
49446,58,11.600000000000001,False
15906,58,11.600000000000001,False
70578,58,11.600000000000001,False
54206,57,11.4,False
8816,57,11.4,False
2075,57,11.4,False
55021,57,11.4,False
68259,57,11.4,False
5047,57,11.4,False
37592,57,11.4,False
51325,56,11.200000000000001,False
61234,56,11.200000000000001,False
33914,56,11.200000000000001,False
46967,56,11.200000000000001,False
50321,56,11.200000000000001,False
52203,56,11.200000000000001,False
55313,56,11.200000000000001,False
24348,56,11.200000000000001,False
46855,56,11.200000000000001,False
10752,56,11.200000000000001,False
65341,56,11.200000000000001,False
46583,56,11.200000000000001,False
59218,56,11.200000000000001,False
69498,56,11.200000000000001,False
16377,55,11.0,False
22895,55,11.0,False
31080,55,11.0,False
27053,55,11.0,False
51494,55,11.0,False
41222,55,11.0,False
56351,55,11.0,False
33395,55,11.0,False
42864,55,11.0,False
61710,55,11.0,False
58546,55,11.0,False
37115,55,11.0,False
71111,55,11.0,False
65011,55,11.0,False
7349,55,11.0,False
19022,55,11.0,False
73561,55,11.0,False
36094,55,11.0,False
43949,55,11.0,False
50086,55,11.0,False
1397,55,11.0,False
34758,55,11.0,False
12199,55,11.0,False
49749,55,11.0,False
30864,55,11.0,False
18915,55,11.0,False
22521,55,11.0,False
32191,54,10.8,False
2512,54,10.8,False
