feature_index,occurrence_count,occurrence_percentage,globally_interesting
868,462,92.4,False
56694,447,89.4,False
13469,439,87.8,False
60470,421,84.2,False
69252,420,84.0,False
67792,415,83.0,False
26844,375,75.0,False
23624,358,71.6,False
67053,353,70.6,False
29050,332,66.4,False
54500,317,63.4,False
60592,291,58.199999999999996,False
13407,283,56.599999999999994,False
6109,259,51.800000000000004,False
68305,244,48.8,False
71786,235,47.0,False
49621,215,43.0,False
10276,209,41.8,False
35655,209,41.8,False
57319,195,39.0,False
38472,190,38.0,False
13781,190,38.0,False
2923,188,37.6,False
29021,184,36.8,False
39033,179,35.8,False
43830,172,34.4,False
33444,152,30.4,False
53328,146,29.2,False
58844,131,26.200000000000003,False
41875,129,25.8,False
53124,128,25.6,False
71680,128,25.6,False
43813,125,25.0,False
40347,123,24.6,False
30822,121,24.2,False
50189,120,24.0,False
17956,116,23.200000000000003,False
21913,113,22.6,False
8355,111,22.2,False
23241,110,22.0,False
13929,107,21.4,False
30059,105,21.0,False
17009,104,20.8,False
10549,103,20.599999999999998,False
39622,100,20.0,False
52852,99,19.8,False
8768,98,19.6,False
40182,96,19.2,False
39416,96,19.2,False
22576,95,19.0,False
46866,94,18.8,False
47743,89,17.8,False
24780,88,17.599999999999998,False
42182,88,17.599999999999998,False
65154,88,17.599999999999998,False
32043,87,17.4,False
42231,87,17.4,False
2365,87,17.4,False
52049,85,17.0,False
36156,84,16.8,False
47342,83,16.6,False
16748,83,16.6,False
30804,81,16.2,False
46648,81,16.2,False
31153,80,16.0,False
33840,80,16.0,False
15476,80,16.0,False
3561,80,16.0,False
19908,78,15.6,False
64507,77,15.4,False
23353,77,15.4,False
69922,77,15.4,False
52566,77,15.4,False
16177,75,15.0,False
63516,75,15.0,False
43095,75,15.0,False
34906,75,15.0,False
22642,74,14.799999999999999,False
47118,73,14.6,False
50220,72,14.399999999999999,False
68411,72,14.399999999999999,False
31146,72,14.399999999999999,False
34360,72,14.399999999999999,False
12756,71,14.2,False
6354,71,14.2,False
37115,71,14.2,False
11967,71,14.2,False
32997,71,14.2,False
19748,70,14.000000000000002,False
15786,70,14.000000000000002,False
39770,69,13.8,False
2430,69,13.8,False
31782,68,13.600000000000001,False
46583,66,13.200000000000001,False
72065,66,13.200000000000001,False
43949,66,13.200000000000001,False
23927,66,13.200000000000001,False
67902,65,13.0,False
4901,64,12.8,False
42089,63,12.6,False
66263,63,12.6,False
71472,63,12.6,False
49446,63,12.6,False
40230,63,12.6,False
34852,63,12.6,False
10752,62,12.4,False
63213,62,12.4,False
69168,61,12.2,False
50086,61,12.2,False
22711,61,12.2,False
21167,60,12.0,False
11369,60,12.0,False
8816,60,12.0,False
41687,60,12.0,False
67743,60,12.0,False
46322,60,12.0,False
51325,60,12.0,False
48133,59,11.799999999999999,False
43269,59,11.799999999999999,False
56034,59,11.799999999999999,False
58507,59,11.799999999999999,False
60506,59,11.799999999999999,False
38960,59,11.799999999999999,False
54206,59,11.799999999999999,False
50286,58,11.600000000000001,False
5047,58,11.600000000000001,False
62958,58,11.600000000000001,False
58049,58,11.600000000000001,False
32589,58,11.600000000000001,False
22521,58,11.600000000000001,False
60366,58,11.600000000000001,False
10905,58,11.600000000000001,False
39773,58,11.600000000000001,False
21878,57,11.4,False
21235,57,11.4,False
21575,57,11.4,False
57927,57,11.4,False
62989,57,11.4,False
42953,57,11.4,False
18915,57,11.4,False
18872,57,11.4,False
58243,57,11.4,False
1460,57,11.4,False
29539,57,11.4,False
15906,57,11.4,False
33914,57,11.4,False
4817,57,11.4,False
48272,56,11.200000000000001,False
3354,56,11.200000000000001,False
43691,56,11.200000000000001,False
65011,56,11.200000000000001,False
65247,56,11.200000000000001,False
65639,56,11.200000000000001,False
61740,56,11.200000000000001,False
398,56,11.200000000000001,False
61234,56,11.200000000000001,False
27053,56,11.200000000000001,False
37469,56,11.200000000000001,False
15834,56,11.200000000000001,False
33397,56,11.200000000000001,False
23532,56,11.200000000000001,False
70578,56,11.200000000000001,False
27984,56,11.200000000000001,False
23231,56,11.200000000000001,False
33395,55,11.0,False
8798,55,11.0,False
65341,55,11.0,False
45243,55,11.0,False
46967,55,11.0,False
6500,55,11.0,False
2760,55,11.0,False
47501,55,11.0,False
48749,55,11.0,False
53073,55,11.0,False
49395,55,11.0,False
64765,55,11.0,False
53522,55,11.0,False
63045,55,11.0,False
64034,55,11.0,False
56796,55,11.0,False
65030,55,11.0,False
21841,55,11.0,False
30864,55,11.0,False
61930,55,11.0,False
1536,55,11.0,False
56893,55,11.0,False
